date,open,high,low,close,volume,oi
2004-08-25T00:00:00+05:30,147.54,147.54,120.5,121.6,136930976,0
2004-08-26T00:00:00+05:30,122.1,122.71,120.04,120.5,40443200,0
2004-08-27T00:00:00+05:30,120.92,120.92,117.98,118.49,30646000,0
2004-08-30T00:00:00+05:30,119.38,121.85,118.78,121.45,24465208,0
2004-08-31T00:00:00+05:30,121.42,121.85,120.13,121.62,21194656,0
2004-09-01T00:00:00+05:30,121.85,122.47,121.07,121.59,19935544,0
2004-09-02T00:00:00+05:30,121.84,123.65,121.36,122.3,21356352,0
2004-09-03T00:00:00+05:30,123.82,135.39,121.9,122.82,9869856,0
2004-09-06T00:00:00+05:30,127.99,127.99,122.21,122.45,9038672,0
2004-09-07T00:00:00+05:30,127.39,127.39,122.47,122.54,5772232,0
2004-09-08T00:00:00+05:30,122.59,123.18,121.99,122.31,6593984,0
2004-09-09T00:00:00+05:30,122.71,122.83,120.43,120.62,7947184,0
2004-09-10T00:00:00+05:30,121.85,121.85,120.13,121.71,6415072,0
2004-09-13T00:00:00+05:30,121.98,124.99,121.98,123.51,20904912,0
2004-09-14T00:00:00+05:30,123.7,125.4,123.45,125.01,15335472,0
2004-09-15T00:00:00+05:30,125.3,125.55,123.23,123.83,11988288,0
2004-09-16T00:00:00+05:30,123.95,124.93,123.39,124.12,7358224,0
2004-09-17T00:00:00+05:30,124.56,126.76,124.35,126.1,14627896,0
2004-09-20T00:00:00+05:30,127.07,127.63,125.56,125.9,8552224,0
2004-09-21T00:00:00+05:30,126.14,129.05,125.79,128.72,13897080,0
2004-09-22T00:00:00+05:30,129.04,129.98,127.65,129.49,15371584,0
2004-09-23T00:00:00+05:30,128.99,129.11,126.41,126.81,15819680,0
2004-09-24T00:00:00+05:30,126.67,128.01,126.28,126.63,8083208,0
2004-09-27T00:00:00+05:30,126.47,127.08,124.93,125.64,8229512,0
2004-09-28T00:00:00+05:30,125.05,126.46,124.62,125,6339416,0
2004-09-29T00:00:00+05:30,125.45,127.15,125.07,126.9,11737176,0
2004-09-30T00:00:00+05:30,127.47,128.12,125.63,126.42,12521432,0
2004-10-01T00:00:00+05:30,126.65,130.03,126.33,128.95,10968888,0
2004-10-04T00:00:00+05:30,130.1,133.05,129.79,132.5,15129824,0
2004-10-05T00:00:00+05:30,132.97,134.04,132.38,133.02,14341288,0
2004-10-06T00:00:00+05:30,133.05,135.74,132.32,133.13,17670664,0
2004-10-07T00:00:00+05:30,133.3,135.39,133.3,135.03,10080128,0
2004-10-08T00:00:00+05:30,135.15,136.75,134.78,135.15,8558920,0
2004-10-11T00:00:00+05:30,135.39,136.81,133.55,134.07,9332056,0
2004-10-12T00:00:00+05:30,136.62,137.24,132.64,133.48,15600512,0
2004-10-14T00:00:00+05:30,135.76,138.35,133.92,137.39,19225984,0
2004-10-15T00:00:00+05:30,138.06,140.44,137.51,138.59,17799744,0
2004-10-18T00:00:00+05:30,139.58,140.56,138.5,139.98,13693344,0
2004-10-19T00:00:00+05:30,140.33,141.39,139.83,140.71,11767128,0
2004-10-20T00:00:00+05:30,140.91,141.53,138.96,139.48,7206832,0
2004-10-21T00:00:00+05:30,139.98,140.19,138.1,138.54,6413520,0
2004-10-25T00:00:00+05:30,138.47,138.71,136.71,137.53,9390272,0
2004-10-26T00:00:00+05:30,137.31,140.43,137.31,139.97,6932760,0
2004-10-27T00:00:00+05:30,140.59,141.3,139.72,140.3,7837656,0
2004-10-28T00:00:00+05:30,140.93,144.6,140.93,143.51,18591416,0
2004-10-29T00:00:00+05:30,143.76,143.76,140.95,142.32,8661776,0
2004-11-01T00:00:00+05:30,141.55,144.56,140.6,144.09,6137568,0
